pod_id,longitude,latitiude
2,151.183,-33.899
4,151.1776,-33.8939
6,151.1894,-33.87975
8,151.1813,-33.8962
9,144.9966,-37.7789
10,151.1874,-33.8809
154,151.20341,-33.857614
11,151.205016,-33.842966
12,151.214,-33.8469
14,144.9778,-37.8002
15,151.2259,-33.8732
16,151.171339,-33.899843
105,151.1896,-33.8675
17,151.185147,-33.882387
107,151.208965,-33.885946
19,151.2499,-33.8908
20,151.179492,-33.798274
21,151.185714,-33.79841
23,151.1864,-33.8777
24,151.159478,-33.91083
25,151.173275,-33.90379
26,151.1893,-33.9005
106,151.2135,-33.8816
344,151.153126,-33.913382
27,151.20683,-33.891151
30,144.9932,-37.8043
116,151.202098,-33.892654
33,151.2198,-33.832
34,151.19641,-33.8871
36,144.9835,-37.7833
37,151.196036,-33.891563
39,151.2186,-33.8768
60,151.17672,-33.85737
41,151.1849,-33.8799
42,151.2155,-33.8878
43,151.156962,-33.894764
44,151.2866,-33.7964
47,151.1693,-33.8812
100,151.1924,-33.8672
101,151.21,-33.8806
49,151.0046,-33.8162
51,151.2435,-33.9113
53,151.2589,-33.9173
58,144.966987,-37.815863
157,138.59651,-34.933098
74,151.1803,-33.7944
62,151.2868,-33.804
66,151.185458,-33.902519
199,151.252787,-33.918148
67,151.2135,-33.8488
119,151.178613,-33.891098
68,151.2062,-33.8417
69,151.218871,-33.833786
73,151.2395,-33.9139
127,151.22454,-33.87087
75,151.2568,-33.9195
76,151.240639,-33.880517
78,151.181638,-33.901041
117,151.17115,-33.8843
79,151.177115,-33.902503
85,151.205451,-33.830303
88,151.1936,-33.8221
89,144.9966,-37.7833
340,151.205942,-33.890301
188,151.197946,-33.83965
91,151.183897,-33.875878
92,151.2264,-33.8844
93,151.2242,-33.8794
95,151.2356,-33.8874
97,151.20888,-33.87855
96,151.2168,-33.8858
98,151.1671,-33.8962
102,151.1914,-33.8836
103,151.225818,-33.872557
112,144.977818,-37.780196
113,151.16826,-33.88636
114,151.184763,-33.898643
104,151.1789,-33.8604
120,151.14434,-33.90329
121,151.1736,-33.8993
123,151.249648,-33.911646
502,151.215464,-33.848397
129,151.21603,-33.87553
130,151.21526,-33.87729
109,151.227515,-33.871752
110,151.2132,-33.8827
125,151.2102,-33.8871
126,151.2231,-33.8715
133,151.175172,-33.8977
638,151.210896,-33.880321
128,151.2142,-33.875277
131,151.22569,-33.87663
132,151.19023,-33.86954
134,151.22457,-33.87515
137,151.1978,-33.88724
138,151.19969,-33.88847
139,151.19653,-33.88402
140,151.18397,-33.80887
147,151.22568,-33.86881
149,151.182925,-33.874307
153,151.196698,-33.876495
155,151.203678,-33.882249
156,151.209799,-33.882401
158,151.202865,-33.862421
159,151.192064,-33.89236
160,151.180925,-33.901477
161,151.18535,-33.893761
162,151.246473,-33.913467
163,151.192689,-33.818153
164,151.173216,-33.896655
168,151.168613,-33.864086
169,151.157761,-33.88354
170,151.170207,-33.862149
171,151.221807,-33.877381
172,151.182282,-33.894972
173,151.1213,-33.7843
174,151.224924,-33.87259
175,151.222268,-33.874466
176,151.176994,-33.885426
179,151.154548,-33.908556
180,151.178285,-33.90443
181,151.216114,-33.847356
193,151.226136,-33.885278
184,151.171762,-33.858941
185,151.269867,-33.89057
186,151.21935,-33.872803
187,151.192716,-33.870179
189,151.204048,-33.825215
190,151.212784,-33.846039
191,151.284594,-33.792334
192,151.177808,-33.884044
194,151.195945,-33.881853
195,151.206411,-33.896076
196,151.208358,-33.906771
197,151.21419,-33.898147
198,151.185782,-33.904057
200,151.196809,-33.871351
202,151.174622,-33.880205
229,151.213009,-33.890457
206,151.209301,-33.883849
205,151.173146,-33.897338
207,151.209308,-33.884594
208,151.214012,-33.88529
209,151.205786,-33.844238
210,151.203879,-33.826071
217,151.24477,-33.830703
216,151.241732,-33.825745
218,151.176057,-33.883925
219,151.2708,-33.897287
306,151.208238,-33.886774
220,151.261631,-33.903125
221,151.265921,-33.905176
222,151.245418,-33.893144
223,151.247812,-33.895688
224,151.269859,-33.893006
225,151.272147,-33.890267
226,151.272039,-33.886146
227,151.277125,-33.887248
228,151.186219,-33.884311
230,151.188537,-33.89428
231,151.219797,-33.879018
232,151.193858,-33.867678
233,151.206556,-33.888629
235,151.180785,-33.888459
236,151.182047,-33.891773
237,151.207634,-33.8863
238,151.190125,-33.883886
239,151.1979,-33.88141
240,151.194717,-33.88196
241,151.19469,-33.880234
242,151.181571,-33.881328
243,151.181869,-33.884094
245,151.221946,-33.872511
246,151.225938,-33.875339
247,151.220439,-33.869283
248,151.198043,-33.878856
249,151.228376,-33.886806
250,151.211675,-33.881346
251,151.210896,-33.890895
252,151.179873,-33.887101
253,151.182628,-33.894098
268,151.270527,-33.886544
272,151.172297,-33.894826
271,151.268429,-33.889816
269,151.254374,-33.90053
254,151.215799,-33.880922
255,151.183371,-33.89265
256,151.216438,-33.8904
258,151.207055,-33.889983
259,151.203429,-33.835344
260,151.208197,-33.888798
261,151.21294,-33.891452
263,151.155742,-33.893446
264,151.166374,-33.884258
265,151.172618,-33.878941
266,151.169928,-33.897941
267,151.161683,-33.901522
270,151.283345,-33.889019
273,151.216452,-33.893112
274,151.211663,-33.891383
275,151.210064,-33.893954
276,151.226369,-33.876977
277,151.22082,-33.87823
278,151.225272,-33.869829
279,151.224859,-33.874438
280,151.223347,-33.868848
281,151.213422,-33.887935
282,151.178446,-33.889305
302,151.188084,-33.898554
283,151.221327,-33.870187
284,151.212108,-33.887894
303,151.203749,-33.84864
285,151.223309,-33.879236
286,151.221257,-33.876618
287,151.209093,-33.843129
288,151.213909,-33.844247
289,151.205046,-33.84721
290,151.207884,-33.834788
291,151.26734,-33.887807
293,151.175367,-33.896742
294,151.180807,-33.90586
295,151.198592,-33.88892
296,151.197731,-33.885616
297,151.213669,-33.894613
298,151.205164,-33.893748
299,151.19439,-33.887901
300,151.196082,-33.884598
301,151.208739,-33.891893
304,151.213677,-33.838371
305,151.197951,-33.83738
307,151.208047,-33.887695
311,151.184007,-33.873095
308,151.186328,-33.894999
309,151.227568,-33.873413
310,151.212403,-33.888504
312,151.194796,-33.888947
314,151.211491,-33.899068
330,151.180882,-33.893545
316,151.19444,-33.866027
317,151.203742,-33.861201
318,151.204383,-33.858422
319,151.187541,-33.902533
331,151.212468,-33.89201
321,151.177015,-33.882852
322,151.191509,-33.868072
323,138.613129,-34.933685
324,151.214823,-33.891245
325,151.1958,-33.889061
326,151.19109,-33.89102
