vehicle_id,vehicle_name,vehicle_type,pod_name,pod_id,area_id,latitude,longitude
14,1414,1414,Newtown - Camperdown Memorial Park ,4,4,-33.8939,151.1776
15,1515,1515,Erskineville - Erskineville Road ,2,2,-33.899,151.183
16,1616,1616,Glebe - Cafe Church ,6,6,-33.87975,151.1894
17,1717,1717,Newtown South - Camden Street ,25,25,-33.90379,151.173275
18,1818,1818,Glebe - Cafe Church ,6,6,-33.87975,151.1894
19,1919,1919,Newtown - Camperdown Memorial Park ,4,4,-33.8939,151.1776
20,2020,2020,Lavender Bay - MacKenzie Street ,68,68,-33.8417,151.2062
21,2121,2121,Glebe - Cafe Church ,6,6,-33.87975,151.1894
83,Roy the Yaris,Yaris,Fitzroy - George Street near corner of Gertrude Street ,1073,1073,-37.805944,144.980478
90,Greta the Yaris,Yaris,Melbourne CBD - Elizabeth Street near La Trobe Street ,1063,1063,-37.810195,144.961182
91,Fernando the Yaris,Yaris,Brunswick - Lygon Street ,1071,1071,-37.778084,144.970574
102,Rory the Corolla,Corolla,Melbourne CBD - 45 Collins Street ,690,690,-37.813768,144.972206
104,Alexis the Yaris,Yaris,Melbourne CBD - Collins Street near King Street. ,691,691,-37.8182,144.95693
105,Dustin the Corolla,Corolla,Melbourne CBD - 474 Flinders Street not 24 hours ,820,820,-37.82001,144.958371
123,Ingrid the Corolla,Corolla,Annandale - Annandale Street near Booth Street ,47,47,-33.8812,151.1693
170,Brett the Corolla,Corolla,Melbourne CBD - Collins Street near William Street. ,692,692,-37.817497,144.959407
171,Tilda the Van,Van,Richmond - IKEA Victoria Street (Not 24 hrs) ,1086,1086,-37.812827,145.010513
178,Birgitta the Van,Van,Richmond - IKEA Victoria Street (Not 24 hrs) ,1086,1086,-37.812827,145.010513
179,Lennart the Van,Van,Richmond - IKEA Victoria Street (Not 24 hrs) ,1086,1086,-37.812827,145.010513
180,Per the Van,Van,Richmond - IKEA Victoria Street (Not 24 hrs) ,1086,1086,-37.812827,145.010513
181,Selma the Van,Van,Richmond - IKEA Victoria Street (Not 24 hrs) ,1086,1086,-37.812827,145.010513
182,Anderson the Van,Van,Richmond - IKEA Victoria Street (Not 24 hrs) ,1086,1086,-37.812827,145.010513
183,Liselotte the Van,Van,Richmond - IKEA Victoria Street (Not 24 hrs) ,1086,1086,-37.812827,145.010513
200,Robin the Van,Van,Chatswood - Daisy Street ,1002,1002,-33.793539,151.182158
202,Sourdough the Corolla,Corolla,Newtown - Flour Mill Studios - Gladstone Street ,133,133,-33.8977,151.175172
203,Sylvia the Van,Van,Glebe - Cafe Church ,6,6,-33.87975,151.1894
215,Oswald the Van,Van,Pyrmont - John Street corner of Harris Street ,806,806,-33.867511,151.192828
216,Edward the Van,Van,Bondi Junction - Ebley Street ,222,222,-33.893144,151.245418
218,Roland the Ute,Ute,Lavender Bay - MacKenzie Street ,68,68,-33.8417,151.2062
219,Walter the Ute,Ute,Stanmore - Cavendish Street  ,1077,1077,-33.896499,151.165395
246,Pauline the Tarago,Tarago,Kirribilli - Bligh Street ,12,12,-33.8469,151.214
292,Elise the Prius,Prius,Millers Point - Windmill Street corner Pottinger Street ,554,554,-33.857605,151.205481
293,Stephen the Prius,Prius,Sydney CBD - 383 Kent Street ,405,405,-33.87007,151.204421
297,Marcus the Prius,Prius,Sydney CBD - 521 Kent Street - Cinema Centre ,403,403,-33.874872,151.205097
304,Alan the Yaris,Yaris,Adelaide - Frome Street ,565,565,-34.925798,138.608172
308,Shirley the Prius,Prius,Millers Point - Windmill Street ,154,154,-33.857614,151.20341
316,Murdoch the Van,Van,Surry Hills - Ridge Street ,324,324,-33.891245,151.214823
319,Nittra the Getz,Getz,Newtown - Wilson Street Car Park ,8,8,-33.8962,151.1813
327,Celia the Tarago,Tarago,Camperdown - TRIO Apartments ,218,218,-33.883925,151.176057
328,Petronella the Prius,Prius,Mosman - Cowles Road ,639,639,-33.824947,151.238254
329,Jean Claude the Van,Van,Darlinghurst - Crown Street ,129,129,-33.87553,151.21603
332,Tara the Prius,Prius,Melbourne CBD - 380 Lonsdale Street - Cobb & Co Carpark ,379,379,-37.812317,144.961461
361,Audrey the Viva Wagon,Viva Wagon,Enmore- Charles Street ,205,205,-33.897338,151.173146
393,Emma the 3 door Yaris,3 door Yaris,Potts Point - Ward Avenue near Kellett Place ,279,279,-33.874438,151.224859
420,Aaron the Viva Wagon,Viva Wagon,Redfern - Marriott Street ,274,274,-33.891383,151.211663
421,Courtney the Van,Van,Surry Hills - Campbell Street corner Crown Street ,643,643,-33.880855,151.214872
422,Bianca the Viva Wagon,Viva Wagon,Newtown South - Camden Street ,25,25,-33.90379,151.173275
423,Amelia the Viva Wagon,Viva Wagon,Annandale - Annandale Street ,455,455,-33.876085,151.171605
424,Andre the Viva Wagon,Viva Wagon,Pyrmont - Harris Street corner Scott Street ,100,100,-33.8672,151.1924
425,Leon the Viva Wagon,Viva Wagon,Annandale - Nelson Street ,202,202,-33.880205,151.174622
426,Tristan the Prius,Prius,Darlinghurst - Darlinghurst Road ,286,286,-33.876618,151.221257
427,Angus the Viva Wagon,Viva Wagon,Surry Hills - Buckingham Street ,237,237,-33.8863,151.207634
428,Gordon the Viva Wagon,Viva Wagon,Kings Cross - Greenknowe Avenue near Baroda Street ,851,851,-33.87154,151.225826
429,Glen the Viva Wagon,Viva Wagon,McMahons Point - Blues Point Road ,11,11,-33.842966,151.205016
430,Irene the Viva Wagon,Viva Wagon,Erskineville - Harold Street ,78,78,-33.901041,151.181638
431,Tom the Viva Wagon,Viva Wagon,Bondi - Francis Street  ,734,734,-33.888615,151.263726
444,Nigel the Viva Wagon,Viva Wagon,Adelaide - 101 Sturt Street ,157,157,-34.933098,138.59651
446,Annabel the Prius,Prius,Millers Point - 124 Kent Street ,317,317,-33.861201,151.203742
447,Brent The Viva Wagon,Brent The Viva Wagon,Birchgrove - Spring Street ,723,723,-33.853302,151.18047
449,Emmanuel the Van,Van,Newtown - OConnell Street ,253,253,-33.894098,151.182628
450,Jane Honda,Jane Honda,Melbourne CBD - 376 Flinders Street - Secure Parking ,347,347,-37.8189,144.9615
451,Kimberlee The Yaris,Kimberlee The Yaris,South Yarra - Society Apartments ,328,328,-37.8447,144.9955
452,Society ENTRY,Society ENTRY,South Yarra - Society Apartments ,328,328,-37.8447,144.9955
453,Adele the Jazz,Jazz,Melbourne CBD - 34-60 Little Collins Street - Secure Parking - PARKADE ,355,355,-37.8127,144.972
454,Kiara the Prius,Prius,Randwick - Barrett House ,979,979,-33.906673,151.249993
455,Troy the Tarago,Tarago,Erskineville - Erskineville Road ,2,2,-33.899,151.183
456,Hafiz the Van,Van,Milsons Point - Alfred Street ,337,337,-33.845968,151.211318
457,Bridget Honda,Bridget Honda,Melbourne CBD - City Square Car Park ,58,58,-37.815863,144.966987
459,Nathan the Yaris,Yaris,Newtown - Prospect Street ,330,330,-33.893545,151.180882
460,Marissa the Yaris,Yaris,Kirribilli - McDougall Street ,288,288,-33.844247,151.213909
462,Max the Yaris,Yaris,Redfern - Baptist Street ,331,331,-33.89201,151.212468
463,Kurt the Yaris,Yaris,Neutral Bay - Raymond Road ,858,858,-33.835991,151.219857
464,Lawrence the Yaris,Yaris,Newtown - Angel Street ,341,341,-33.899041,151.180863
465,Martina the Yaris,Yaris,Redfern - Walker Street ,301,301,-33.891893,151.208739
466,Pat the Yaris,Yaris,Sydney CBD - Wynyard Lane Car Park ,499,499,-33.865694,151.206583
467,Beck the Yaris,Yaris,Crows Nest - Atchison Street ,550,550,-33.823183,151.202401
468,Guy the Yaris,Yaris,Redfern - Chalmers Street near Cleveland Street ,340,340,-33.890301,151.205942
469,Camille the Yaris,Yaris,Balmain - Wortley Street ,104,104,-33.8604,151.1789
470,Sonia the Yaris,Yaris,Crows Nest - Holtermann Street ,189,189,-33.825215,151.204048
471,Xavier the Yaris,Yaris,Darling Point - Darling Point Road ,621,621,-33.870858,151.238171
472,Yvonne the Yaris,Yaris,Leichhardt - Marion Street Car Park ,169,169,-33.88354,151.157761
474,Warren the Yaris,Yaris,Paddington - Gordon Street corner Moore Park Road ,343,343,-33.889364,151.231319
475,Alex the Van,Van,Haymarket - Ultimo Road ,476,476,-33.880165,151.204303
476,Curtis the Tarago,Tarago,Melbourne CBD - City Square Car Park ,58,58,-37.815863,144.966987
477,Carly the Yaris,Yaris,St Peters - Florence street near Silver Street ,578,578,-33.912782,151.174669
480,Clifford the Yaris,Yaris,Newtown South - Alice Street ,420,420,-33.903522,151.177563
482,Corey the Yaris,Yaris,Kings Cross - Kellett Street ,349,349,-33.87439,151.2237
483,Luna the Yaris,Yaris,Kings Cross - Ward Avenue corner Kings Cross Road ,348,348,-33.875789,151.224436
484,Betty the Yaris,Yaris,Chippendale - Daniels Street ,351,351,-33.885821,151.196077
485,Hannah the Yaris,Yaris,Paddington - Duxford Street ,353,353,-33.882278,151.229758
487,Trent the Yaris,Yaris,Erskineville - Swanson Street Corner Park Street ,26,26,-33.9005,151.1893
489,Suzanne the Yaris,Yaris,Paddington - Napier Street ,354,354,-33.883079,151.21862
491,Evelyn the Yaris,Yaris,Adelaide - Flinders Street ,855,855,-34.927091,138.601285
492,Nick the Yaris,Yaris,Fitzroy North - Corner Scotchmer Street and St Georges Road ,36,36,-37.7833,144.9835
493,Eugene the Van,Van,Fitzroy - Corner Bell and Brunswick Street ,14,14,-37.8002,144.9778
494,Bev the Yaris,Yaris,Redfern - Moorehead Street near Phillip Street ,359,359,-33.896211,151.208698
495,Lizzie the Yaris,Yaris,Pyrmont - John Street ,322,322,-33.868072,151.191509
496,Kay the Yaris,Yaris,Chippendale - Kensington Street ,333,333,-33.884345,151.201503
497,Leanne the Yaris,Yaris,Redfern - Great Buckingham Street near Cleveland Street ,258,258,-33.889983,151.207055
498,Lucas the Yaris,Yaris,Rose Bay - Balfour Road ,465,465,-33.875545,151.25883
499,Mike the Yaris,Yaris,Lane Cove - Rosenthal Avenue ,417,417,-33.814509,151.168712
500,Raj the Yaris,Yaris,Millers Point - 17 Kent Street ,368,368,-33.858227,151.203515
501,Quinn the Yaris,Yaris,Kensington - Todman Avenue ,364,364,-33.905205,151.215983
502,Penelope the Yaris,Yaris,Maroubra - Anzac Parade ,382,382,-33.940754,151.239031
503,Miranda the Yaris,Yaris,Randwick - The Spot - Dine Street ,362,362,-33.92027,151.241703
504,Owen the Yaris,Yaris,Coogee North - Beach Street ,53,53,-33.9173,151.2589
505,Quentin the Yaris,Yaris,Pyrmont - Pyrmont Street corner Pyrmont Bridge Road ,370,370,-33.870511,151.195559
506,Olivia the Yaris,Yaris,Pyrmont - Bowman Street ,369,369,-33.866911,151.191011
507,Pascal the Yaris,Yaris,Bondi North - Warners Avenue and Mitchell Street ,365,365,-33.886855,151.275415
509,Carmelita the Yaris,Yaris,Collingwood Town Hall ,30,30,-37.8043,144.9932
510,Piran the Yaris,Yaris,Redfern - Telopea Street ,371,371,-33.89448,151.212631
511,Prue the Yaris,Yaris,Elizabeth Bay - Ithaca Road ,372,372,-33.87201,151.228669
512,Regan the Yaris,Yaris,Elizabeth Bay - Onslow Avenue ,373,373,-33.870389,151.226685
513,Randall the Yaris,Yaris,Kingsford - Harbourne Street ,381,381,-33.924017,151.228627
514,Rami the Yaris,Yaris,Pyrmont - Wattle Crescent ,1066,1066,-33.873412,151.193498
515,Ric the Yaris,Yaris,Bondi North - Military Road Corner Blair Street ,366,366,-33.885967,151.283938
516,Rob the Yaris,Yaris,Bondi - Dudley Street ,367,367,-33.89536,151.271175
517,Regina the Yaris,Yaris,Paddington - Greens Road ,378,378,-33.883624,151.220788
518,Cliff the Tarago,Tarago,Manly - Central Ave Car Park ,44,44,-33.7964,151.2866
519,Claudio the Tarago,Tarago,Sydney CBD - Goulburn Street ,97,97,-33.87855,151.20888
520,Jasper the Van,Van,Artarmon - Broughton Road ,140,140,-33.80887,151.18397
521,Geoff the Tarago,Tarago,Bondi Junction - Gowrie Street ,703,703,-33.891862,151.242759
522,Mirantz the Prius,Prius,Melbourne CBD - 101 Collins Street Car Park ,1070,1070,-37.815156,144.970667
523,Joyce the Yaris,Yaris,Surry Hills - Crown Street near Lansdowne Street ,229,229,-33.890457,151.213009
524,Joshua the Yaris,Yaris,Newtown North - Wilson Street ,230,230,-33.89428,151.188537
525,Josephine the Yaris,Yaris,Fairlight - Daintrey Street ,555,555,-33.794069,151.277189
526,Jocelyn the Yaris,Yaris,Redfern - Bourke Street near Chelsea Street ,408,408,-33.892793,151.214178
527,Jonathan the Yaris,Yaris,Kings Cross - McElhone Street ,545,545,-33.873827,151.221024
528,Jarvis the Yaris,Yaris,Manly - Wood Street ,62,62,-33.804,151.2868
529,Jim the Yaris,Yaris,Glebe - Cafe Church ,6,6,-33.87975,151.1894
530,Jerome the Yaris,Yaris,Clovelly - Clovelly Beach Car Park ,363,363,-33.915218,151.266927
531,Juliet the Yaris,Yaris,Surry Hills - Short Street near Clare Street ,391,391,-33.882617,151.217108
532,Isaac the Yaris,Yaris,Stanmore - Gordon Cresent ,935,935,-33.894157,151.163464
533,Harriet the Yaris,Yaris,Kirribilli - Corner Kirribilli Avenue and Broughton Street ,67,67,-33.8488,151.2135
534,Billy the Yaris,Yaris,Marrickville - Livingstone Road ,386,386,-33.899582,151.153526
535,Grace the Yaris,Yaris,Potts Point - St Neots Avenue ,389,389,-33.867498,151.225264
536,Georgina the Yaris,Yaris,Summer Hill - Sloan Street ,387,387,-33.890045,151.139356
537,Carlos the Yaris,Yaris,Lavender Bay - Lavender Street ,388,388,-33.842811,151.206201
538,Fergus the Yaris,Yaris,Redfern - Pitt Street ,630,630,-33.892763,151.203772
539,Julie the Yaris,Yaris,Kings Cross - Baroda Street ,103,103,-33.872557,151.225818
540,Elena the Yaris,Yaris,Sydney CBD - Hilton Hotel ,401,401,-33.871636,151.207173
541,Sophia the Yaris,Yaris,Sydney CBD - 1 Martin Place ,402,402,-33.868346,151.208365
542,Terry the Yaris,Yaris,Sydney CBD - Goulburn Street - World Square ,885,885,-33.877141,151.206817
543,Todd the Yaris,Yaris,Surry Hills - Pelican Street ,356,356,-33.878812,151.213123
544,Veronica the Yaris,Yaris,Bondi - Consett Avenue ,225,225,-33.890267,151.272147
545,Wesley the Yaris,Yaris,Mosman - Moruben Road ,889,889,-33.823185,151.245011
546,Sergio the Yaris,Yaris,Crows Nest - Emmett Street ,85,85,-33.830303,151.205451
547,Sarina the i30 Wagon,i30 Wagon,Brunswick - Edward Street ,396,396,-37.773942,144.961975
548,Ruth the i30 Wagon,i30 Wagon,Richmond - IKEA Victoria Street (Not 24 hrs) ,1086,1086,-37.812827,145.010513
549,Russell the i30 Wagon,i30 Wagon,Sydney CBD - 383 Kent Street ,405,405,-33.87007,151.204421
550,Matt the i30 Wagon,i30 Wagon,Alexandria - Australian Technology Park ,868,868,-33.895724,151.196436
551,Louisa the i30 Wagon,i30 Wagon,Bondi Junction - Birrell Street ,223,223,-33.895688,151.247812
552,Linda the i30 Wagon,i30 Wagon,Sydney CBD - Hilton Hotel ,401,401,-33.871636,151.207173
553,Diego the i30 Wagon,i30 Wagon,Marrickville - Petersham Road ,179,179,-33.908556,151.154548
554,Jay the i30 Wagon,i30 Wagon,Kings Cross - Greenknowe Avenue ,109,109,-33.871752,151.227515
555,Felix the i30 Wagon,i30 Wagon,Surry Hills - Kippax Street corner Waterloo Street ,393,393,-33.885311,151.210976
556,Ewan the i30 Wagon,i30 Wagon,North Sydney - McLaren Street ,290,290,-33.834788,151.207884
557,Fadi the Corolla,Corolla,Brunswick - Glenlyon Road ,395,395,-37.772623,144.970919
558,Harold the Corolla,Corolla,Clyde North - Selandra Rise ,782,782,-38.108894,145.324756
559,Donna the Yaris,Yaris,North Sydney - Bay Road ,259,259,-33.835344,151.203429
560,Bettina the Yaris,Yaris,Surry Hills - Foveaux Street corner Little Riley Street ,411,411,-33.884868,151.212307
561,Alana the Yaris,Yaris,Erskineville - Coulson Street near Mitchell Road ,412,412,-33.906271,151.187761
562,Erin the Yaris,Yaris,Carlton - Bouverie Street at Victoria Street ,715,715,-37.806258,144.961443
564,Paulo the Yaris,Yaris,Cremorne - Murdoch Street corner Hodgson Avenue ,988,988,-33.838752,151.226138
565,Kirsten the Yaris,Yaris,Darlinghurst - Liverpool Street near Bourke Street ,415,415,-33.877717,151.21763
566,Bruno the Yaris,Yaris,Cremorne - Langley Avenue ,970,970,-33.825934,151.230804
