vehicle_id,vehicle_name,pod_name,pod_id,area_id
500,Raj the Yaris,Millers Point - 17 Kent Street ,368,368
501,Quinn the Yaris,Kensington - Todman Avenue ,364,364
502,Penelope the Yaris,Maroubra - Anzac Parade ,382,382
503,Miranda the Yaris,Randwick - The Spot - Dine Street ,362,362
504,Owen the Yaris,Coogee North - Beach Street ,53,53
505,Quentin the Yaris,Pyrmont - Pyrmont Street corner Pyrmont Bridge Road ,370,370
506,Olivia the Yaris,Pyrmont - Bowman Street ,369,369
507,Pascal the Yaris,Bondi North - Warners Avenue and Mitchell Street ,365,365
509,Carmelita the Yaris,Collingwood Town Hall ,30,30
510,Piran the Yaris,Redfern - Telopea Street ,371,371
